# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 23 20:23:55 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid,plntranreflink,facility,instrument
82,GJ 436 b,1.51300,,0.705700,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
83,GJ 436 b,1.53200,,0.702200,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
84,GJ 436 b,1.55100,,0.701800,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
85,GJ 436 b,1.57000,,0.701000,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
86,GJ 436 b,1.58800,,0.695900,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
87,GJ 436 b,1.60700,,0.699400,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
88,GJ 436 b,1.62600,,0.698400,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
89,GJ 436 b,1.64500,,0.691600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
90,GJ 1214 b,0.81000,,,,0.12038,2455426.422923,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
91,GJ 1214 b,0.85500,,,,0.11042,2455350.563492,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
92,GJ 1214 b,0.87700,,,,0.11843,2455437.487593,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
93,GJ 1214 b,0.87700,,,,0.11754,2455723.539027,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
94,GJ 1214 b,0.87845,,,,0.11724,2455399.556041,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
95,GJ 1214 b,0.88350,,,,0.11556,2455437.487593,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
96,GJ 1214 b,0.88350,,,,0.11791,2455723.539027,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.438.2395W target=ref> Wilson et al. 2014</a>,Gran Telescopio CANARIAS 10.4m telescope,OSIRIS
